algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,2,0.9,128,5,8,8,1000000,zipfian,0.8,1392.326,2.21,2.08,3.46,5.97,2.48
EIGER,4,0.9,128,5,8,8,1000000,zipfian,0.8,2147.442,2.86,2.68,4.52,10.28,4.31
EIGER,8,0.9,128,5,8,8,1000000,zipfian,0.8,2983.2,4.15,3.88,6.54,14.54,8.20
EIGER,16,0.9,128,5,8,8,1000000,zipfian,0.8,3471.0260000000003,7.14,6.77,10.52,28.32,17.90
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,3588.4919999999997,13.81,13.38,17.67,63.99,42.04
EIGER,64,0.9,128,5,8,8,1000000,zipfian,0.8,3460.436,28.65,28.49,30.12,28.65,66.01
EIGER,128,0.9,128,5,8,8,1000000,zipfian,0.8,3194.9900000000002,62.17,63.09,53.81,62.17,62.17
EIGER,256,0.9,128,5,8,8,1000000,zipfian,0.8,2842.644,139.82,143.44,107.25,139.82,139.82
EIGER,512,0.9,128,5,8,8,1000000,zipfian,0.8,2958.088,282.14,291.10,201.48,282.14,282.14
