algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,2,0.9,1,5,8,8,1000000,zipfian,35076.7866473862,8.877550553239791,8.877550553239791,11.346388826499144,21.16304824778765,9.448402510314715
EIGER,4,0.9,1,5,8,8,1000000,zipfian,52987.44324349129,11.819515299977873,11.819515299977873,14.462686379111387,38.19010826951799,18.326003707560165
EIGER,8,0.9,1,5,8,8,1000000,zipfian,73641.48203234893,16.982397310221323,16.982397310221323,19.905064760130884,59.11424760295537,32.739519389180664
EIGER,16,0.9,1,5,8,8,1000000,zipfian,81291.78660327062,30.806783937321583,30.806783937321583,30.909803794705184,131.6112336411122,79.59927423862732
EIGER,32,0.9,1,5,8,8,1000000,zipfian,85428.81321469092,58.702189898297576,58.702189898297576,48.05974201433115,284.8360774654274,183.3961384769696
EIGER,64,0.9,1,5,8,8,1000000,zipfian,83874.5083139763,119.71523017238813,119.71523017238813,77.67163134580547,147.44326309638078,296.8654340699829
EIGER,128,0.9,1,5,8,8,1000000,zipfian,76743.75242714174,261.5361065959822,261.5361065959822,133.90918773927422,261.5361065959822,261.5361065959822
EIGER,256,0.9,1,5,8,8,1000000,zipfian,70042.37479199123,573.8905929862976,573.8905929862976,252.1516595782685,573.8905929862976,573.8905929862976
EIGER,512,0.9,1,5,8,8,1000000,zipfian,57063.440388792435,1420.0455254661374,1420.0455254661374,574.197234792605,1420.0455254661374,1420.0455254661374
EIGER_PORT,2,0.9,1,5,8,8,1000000,zipfian,6210.4283657229,83.75287403907721,83.75287403907721,164.11423073034672,24.102853980567012,11.20241515401713
EIGER_PORT,4,0.9,1,5,8,8,1000000,zipfian,13201.6977473704,106.46979824724285,106.46979824724285,17.18403017258816,35.301358397543076,15.746440208453572
EIGER_PORT,8,0.9,1,5,8,8,1000000,zipfian,19218.161268091542,65.58226583058475,65.58226583058475,20.003758060036493,103.80286473265566,28.003393559186957
EIGER_PORT,16,0.9,1,5,8,8,1000000,zipfian,91623.20606460795,27.39462640468589,27.39462640468589,34.244045881456756,90.37832357145918,53.201729236782086
EIGER_PORT,32,0.9,1,5,8,8,1000000,zipfian,107217.61666762157,46.738472723598875,46.738472723598875,57.33814153072566,150.75868909911776,90.88612312617708
EIGER_PORT,64,0.9,1,5,8,8,1000000,zipfian,119626.66589934274,83.81255168407908,83.81255168407908,103.36958329825832,264.021471896829,167.04654190696348
EIGER_PORT,128,0.9,1,5,8,8,1000000,zipfian,135499.41303458327,147.99710624549797,147.99710624549797,181.71096932203352,406.8788372355304,289.392764623813
EIGER_PORT,256,0.9,1,5,8,8,1000000,zipfian,140805.58435735782,284.8856871005289,284.8856871005289,349.5333559077313,284.8856871005289,284.8856871005289
EIGER_PORT,512,0.9,1,5,8,8,1000000,zipfian,143863.87899418327,557.9715155210802,557.9715155210802,688.6113586697124,557.97151552108,557.97151552108
